회사명,성명,관계,주식수_판단,LLM_entity_type,LLM_세부관계,LLM_가족여부,LLM_근거,LLM_is_person
DL,㈜대림,최대주주,8860723,회사/법인,가족아님,확실,"'㈜대림'은 회사 이름이며, DL 그룹의 주요 계열사입니다. DL 그룹은 '대림'이라는 명칭을 사용하고 있으며, '㈜대림'은 DL 그룹의 주주로서 존재합니다. 따라서 개인적인 가족 관계가 아닙니다.",False
DL,(학)대림학원,특수관계인,194976,회사/법인,가족아님,확실,"'대림학원'은 회사/법인으로 보이며, 회사 정보나 검색 결과에서 해당 이름과 관련된 개인 정보나 가족 관계를 찾을 수 없습니다. 따라서 회사와 가족 관계가 없다고 판단됩니다.",False
DL,이해창,특수관계인,5505,사람,형제,확실,"검색 결과 [2]에서 이해창은 DL그룹 이해욱 회장의 동생으로 명시되어 있으며, [3]에서 DL그룹 3남으로 언급되어 있어 형제 관계가 확실함.",True
DL,이진숙,특수관계인,12868,사람,기타가족,가족으로 예상됨,"이진숙은 DL 그룹 이준용 회장의 친척으로, DL 그룹의 주요 인물들과 연관되어 있으며, 주주 정보에 특수관계인으로 기재되어 있습니다.",True
DL,이윤영,특수관계인,9639,사람,기타가족,가족으로 예상됨,"'특수관계인'으로 기재되었고, DL Holdings의 대표자 김종현과 연관성이 있을 가능성이 높습니다. 하지만 구체적인 가족 관계(배우자, 자녀 등)는 확인되지 않아 '가족으로 예상됨'으로 판단합니다.",True
DL,이부용,특수관계인,21,사람,기타가족,불확실,"주주 정보에 '이부용'이라는 이름이 '특수관계인'으로 기재되었으나, 회사 대표자 김종현과의 구체적인 가족 관계는 확인되지 않았습니다. '이부용'이라는 이름이 회사 관련 인물인지, 혹은 다른 관계의 가족인지 불확실합니다.",True
DL,(학)대림학원,특수관계인,91048,회사/법인,가족아님,확실,"주주 정보가 '대림학원'으로, 학원이라는 명칭으로 보아 개인 주주가 아닌 교육 기관인 법인입니다. 따라서 회사 대표자(김종현)와 가족 관계가 있을 수 없습니다.",False
DL,㈜대림,최대주주,11092,회사/법인,가족아님,확실,"주주 정보에 '㈜대림'이라는 회사명이 명시되어 있으며, 이는 개인의 이름이 아니므로 가족 관계가 성립할 수 없습니다.",False
DL,이해창,특수관계인,443,사람,형제,확실,"여러 기사에서 이해창은 DL그룹 이해욱 회장의 동생이자 이준용 명예회장의 3남으로 명시되어 있으며, DL 및 DL이앤씨 주식 매도와 관련하여 언급되고 있습니다.",True
DL,이진숙,특수관계인,443,사람,기타가족,불확실,"주주 정보에 '이진숙'이라는 이름이 '특수관계인'으로 기재되어 있지만, 회사 대표자 김종현과의 정확한 가족 관계는 명시되어 있지 않아 불확실함. 관련 뉴스 기사들은 이진숙이 교육부 장관 후보자였으나 지명 철회되었고, 방통위원장 임명 과정에서 탄핵 소추안이 발의되는 등 정치적인 배경을 보여줌.",True
DL,이윤영,특수관계인,443,사람,기타가족,불확실,"주주 정보에 '특수관계인'으로 기재되었으나, DL Holdings의 대표자 김종현과의 구체적인 가족 관계를 알 수 없으므로 불확실로 판단합니다.",True
DL,계,계,9083732,회사/법인,가족아님,불확실,"주주 이름이 '계'로, 이는 사람 이름이 아닌 '계'라는 조직 또는 계(契)를 의미할 가능성이 높습니다. 웹 검색 결과에서도 '계'라는 단어가 조직이나 계를 의미하는 맥락으로 사용되고 있습니다.",False
DL,계,계,103469,회사/법인,가족아님,불확실,"주주 이름이 '계'로, 이는 사람 이름이 아닌 회사/법인/재단/계 등의 조직 이름일 가능성이 높습니다. 웹 검색 결과에서도 '계'라는 이름으로 특정 인물과 연결되지 않습니다.",False
