회사명,성명,관계,주식수_판단,LLM_entity_type,LLM_세부관계,LLM_가족여부,LLM_근거,LLM_is_person
LF,구본걸,최대주주,5587890,사람,가족아님,불확실,"LF의 대표이사(오규식, 김상균)와 구본걸 사이에 가족 관계에 대한 정보가 없으며, LF Stores와 관련된 웹 검색 결과는 LF와 직접적인 관련이 없어 보입니다.",True
LF,엘지연암학원,기타,12860,재단/계,가족아님,불확실,"'엘지연암학원'은 학원이라는 명칭으로 보아 법인 또는 재단으로 판단되며, LF와 직접적인 가족 관계가 있다고 보기 어렵습니다.",False
LF,오규식,발행회사 임원,15131,사람,본인,확실,"오규식은 LF의 대표이사 부회장으로 명시되어 있으며, 관련 기사에서 LF의 경영 활동에 관여하는 인물로 소개되고 있습니다. 이는 그가 회사와 직접적인 관계를 가진 개인임을 나타냅니다.",True
LF,윤용로,계열사 임원,8330,사람,기타가족,가족으로 예상됨,"윤용로가 LF의 사외이사를 역임했으며, 코람코자산신탁 이사회 의장을 맡는 등 LF 그룹과 깊은 관계를 맺고 있는 점, 그리고 관련 기사에서 '가교' 역할을 지속한다는 언급이 있는 점 등을 고려할 때, 단순한 사업적 관계를 넘어 가족 관계일 가능성이 높다고 예상됨.",True
LF,구경모,최대주주 친인척,37908,사람,아들,확실,"검색 결과 [2]와 [3]에 따르면 구본걸 LF 회장의 아들로 명시되어 있으며, [4]에서 LF디앤엘의 주주로 언급됨.",True
LF,구민정,최대주주 친인척,322491,사람,딸,확실,"구본걸 LF 회장의 자녀들이 LF 주식을 매입하고 있으며, 구민정 씨는 장녀로서 잇따라 주식을 매입하여 지배력을 키우고 있다는 기사가 존재합니다.",True
LF,구본순,최대주주 친인척,2501476,사람,형제,확실,"여러 기사에서 구본순은 구본걸 회장의 형제이며, LF 네트웍스를 구본순, 구본진 형제가 맡는 방식으로 계열분리가 진행되었음을 명시하고 있습니다.",True
LF,구본영,최대주주 친인척,179300,사람,기타가족,가족으로 예상됨,"주주 정보에 '최대주주 친인척'으로 명시되어 있으며, LF Stores 관련 웹 검색 결과에서 LF라는 이름이 반복적으로 등장하여 회사와 관련된 인물일 가능성이 높습니다.",True
LF,구본진,최대주주 친인척,1707100,사람,형제,확실,"여러 기사에서 구본진이 LF 네트웍스 대표이며, 구본걸 LF 회장의 동생임을 명시하고 있습니다. 형제자매 관계임을 확인했습니다.",True
LF,구성모,최대주주 친인척,344259,사람,아들,확실,"여러 기사에서 구성모 씨가 LF 오너 4세이며, LF디앤엘의 최대주주로 LF 지분 확보를 통해 그룹 지배력을 강화하고 있다고 보도하고 있습니다.",True
