회사명,성명,관계,주식수_판단,LLM_entity_type,LLM_세부관계,LLM_가족여부,LLM_근거,LLM_is_person,LLM_관계유형
BYC,신한에디피스,본인,115140,회사/법인,가족아님,확실,"신한에디피스는 주주 정보에 나타난 회사 이름이며, BYC 대표자 김대환과의 가족 관계는 확인되지 않았습니다.",False,
BYC,한승홀딩스,계열사,65873,회사/법인,가족아님,확실,"'한승홀딩스'는 주주 정보에 '계열사'로 명시되어 있으며, 이는 개인의 이름이 아닌 회사 또는 법인임을 나타냅니다.",False,
BYC,한승홀딩스,계열사,217,회사/법인,가족아님,확실,"'한승홀딩스'는 주주 정보에 '계열사'로 명시되어 있으며, 개인의 이름이 아니므로 회사/법인으로 판단됩니다.",False,
BYC,신한학원,계열사,31230,회사/법인,가족아님,불확실,"신한학원은 BYC의 주요 주주로 등재되어 있지만, 나무위키, 블로그, 뉴스 기사 등에서 '계열사'로 언급되고 있으며, 개인적인 가족 관계를 나타내는 정보는 없습니다.",False,
BYC,제원기업,계열사,1906,회사/법인,가족아님,불확실,"'제원기업'은 주주 정보에 나타난 회사 이름이며, BYC의 계열사로 언급됩니다. 하지만 개인적인 가족 관계에 대한 직접적인 정보는 제공되지 않았습니다.",False,
BYC,일관,계열사,18739,회사/법인,가족아님,불확실,"'일관'은 주주 정보에 '계열사'로 명시되어 있으며, 개인의 이름으로 보기 어렵습니다. 계열사라는 정보만으로는 개인과의 가족 관계를 판단할 수 없습니다.",False,
BYC,인화상품,계열사,16002,회사/법인,가족아님,불확실,"'인화상품'은 BYC의 계열사로, 주주 정보에 나타나 있으며 개인의 이름으로 보기 어렵습니다. 계열사라는 점만으로는 가족 관계를 확정할 수 없습니다.",False,
BYC,백양,계열사,34,회사/법인,가족아님,불확실,"주주 정보에서 '백양'이 회사 이름인 '백양 코퍼레이션'의 준말이라는 정보가 있으며, 현재는 'BYC'라는 브랜드로 더 잘 알려져 있습니다. 따라서 '백양'은 개인 이름이 아닌 회사 이름으로 판단됩니다.",False,
BYC,신한방,계열사,128,회사/법인,가족아님,불확실,"'신한방'은 BYC의 계열사로 주식 보유 현황이 보고되고 있으며, 개인의 이름으로 보기 어렵습니다. 다만, 계열사 주식 매입을 통해 오너 일가의 경영권 방어에 관여하고 있다는 점을 고려할 때, 간접적인 관련성은 있을 수 있습니다.",False,
BYC,한석범,최대주주의 특수관계인,46328,사람,아들,확실,"여러 기사에서 한석범 회장이 BYC의 최대주주이며, 고 한영대 전 회장의 아들이라는 내용이 명시되어 있습니다.",True,
