회사명,성명,관계,주식수_판단,LLM_관계유형,LLM_가족여부,LLM_근거,LLM_entity_type,LLM_세부관계,LLM_is_person
SHD,신종호,본인,557609,본인,확실,회사 대표자(본인)과 이름이 일치하여 본인으로 간주함.,,,
SHD,김순덕,특수관계인,39815,,가족으로 예상됨,"주주 정보에 '특수관계인'으로 기재되어 있으며, SHD의 대표자(신종호)와 어떤 가족 관계인지 정확히 알 수 없지만, 특수관계인이라는 점을 고려할 때 가족일 가능성이 높습니다.",사람,기타가족,True
SHD,신정헌,특수관계인,4000,,가족으로 예상됨,"'신정헌'이 '특수관계인'으로 기재되었고, SHD의 대표자(회장)가 '신종호'이므로, 가족 관계일 가능성이 높다고 판단됩니다. 정확한 관계는 추가 정보 없이는 알 수 없습니다.",사람,기타가족,True
SHD,김경숙,특수관계인,1441,,불확실,"주주 정보에 '김경숙'이라는 이름이 '특수관계인'으로 기재되었으나, 대표자 '신종호'와의 구체적인 가족 관계(배우자, 자녀, 형제자매 등)를 알 수 없으므로 불확실로 판단합니다.",사람,기타가족,True
SHD,신민주,특수관계인,7441,,가족으로 예상됨,"주주 정보에 '신민주'라는 이름이 '특수관계인'으로 기재되어 있고, 회사 대표가 '신종호'이므로, 딸일 가능성이 높다고 예상됨.",사람,딸,True
SHD,신명호,특수관계인,1441,,가족으로 예상됨,"주주 정보에 '신명호'라는 이름이 '특수관계인'으로 기재되어 있고, 회사 대표가 '신종호'이므로, 성이 동일하여 가족 관계일 가능성이 높다고 예상됨. 정확한 관계는 추가 정보 없이는 판단하기 어려움.",사람,기타가족,True
SHD,신재호,특수관계인,707,,가족으로 예상됨,"주주 정보에 '특수관계인'으로 기재되었고, 회사 대표자(신종호)와 성씨가 동일하여 가족 관계일 가능성이 높습니다. 정확한 관계는 알 수 없으나, 오너 일가 또는 친척일 가능성이 있습니다.",사람,기타가족,True
SHD,오은선,특수관계인,3040,,가족으로 예상됨,"주주 정보에 '특수관계인'으로 기재되어 있고, 회사 설립 시기(1956년)와 현재 대표자(신종호)의 연관성을 고려할 때, 신종호 대표의 친척일 가능성이 높다고 예상됨. 정확한 관계는 추가 정보 없이는 판단하기 어려움.",사람,기타가족,True
SHD,오상원,특수관계인,1441,,불확실,"주주 정보에 '오상원'이라는 이름이 '특수관계인'으로 기재되었으나, 대표자 '신종호'와의 구체적인 가족 관계는 알 수 없습니다. '특수관계인'이라는 표현은 가족일 가능성을 시사하지만, 법률적인 관계를 의미할 수도 있습니다.",사람,불확실,True
SHD,신정혜,특수관계인,0,,가족으로 예상됨,"주주 정보에 '신정혜'라는 이름이 '특수관계인'으로 기재되어 있으며, 회사 대표가 '신종호'이므로 가족 관계일 가능성이 높습니다. 정확한 관계는 알 수 없으나, 대표자와 성이 같아 가족으로 예상됩니다.",사람,기타가족,True
SHD,오종윤,특수관계인,0,,불확실,"주주 정보에 '오종윤'이라는 이름이 '특수관계인'으로 기재되었으나, 대표자 '신종호'와의 구체적인 가족 관계에 대한 정보가 전혀 없으므로 가족 여부를 단정하기 어렵습니다.",사람,불확실,True
SHD,계,계,616935,,확실,"주주 정보에 '계'라는 이름이 기재되었으며, 이는 개인 이름이 아닌 회사/법인/재단 등의 조직 이름을 나타내는 것으로 추정됩니다.",회사/법인,가족아님,False
